year,states,states_code,id,population
2013,Idaho,ID,16,1612053
2013,Illinois,IL,17,12895078
2013,Indiana,IN,18,6570518
2013,Iowa,IA,19,3092225
2013,Kansas,KS,20,2892821
2013,Kentucky,KY,21,4404817
2013,Louisiana,LA,22,4629889
2013,Maine,ME,23,1328543
2013,Maryland,MD,24,5924704
2013,Massachusetts,MA,25,6707118
2013,Michigan,MI,26,9913068
2013,Minnesota,MN,27,5416074
2013,Mississippi,MS,28,2988578
2013,Missouri,MO,29,6040620
2013,Montana,MT,30,1013564
2013,Nebraska,NE,31,1867388
2013,Nevada,NV,32,2776972
2013,New Hampshire,NH,33,1326408
2013,New Jersey,NJ,34,8858735
2013,New Mexico,NM,35,2086890
2013,New York,NY,36,19624447
2013,North Carolina,NC,37,9848676
2013,North Dakota,ND,38,722908
2013,Ohio,OH,39,11570197
2013,Oklahoma,OK,40,3853405
2013,Oregon,OR,41,3928030
2013,Pennsylvania,PA,42,12783462
2013,Rhode Island,RI,44,1053243
2013,South Carolina,SC,45,4767894
2013,South Dakota,SD,46,842513
2013,Tennessee,TN,47,6494340
2013,Texas,TX,48,26505637
2013,Utah,UT,49,2899961
2013,Vermont,VT,50,626972
2013,Virginia,VA,51,8252427
2013,Washington,WA,53,6973281
2013,West Virginia,WV,54,1853619
2013,Wisconsin,WI,55,5742713
2013,Wyoming,WY,56,582122
2014,Alabama,AL,01,4841799
2014,Alaska,AK,02,736759
2014,Arizona,AZ,04,6728783
2014,Arkansas,AR,05,2966835
2014,California,CA,06,38654206
2014,Colorado,CO,08,5350101
2014,Connecticut,CT,09,3596003
2014,Delaware,DE,10,933619
2014,Florida,FL,12,19905569
2014,Georgia,GA,13,10097132
2014,Hawaii,HI,15,1417710
2014,Idaho,ID,16,1632248
2014,Illinois,IL,17,12885092
2014,Indiana,IN,18,6593078
2014,Iowa,IA,19,3109350
2014,Kansas,KS,20,2899553
2014,Kentucky,KY,21,4414349
2014,Louisiana,LA,22,4648797
2014,Maine,ME,23,1330256
2014,Maryland,MD,24,5957435
2014,Massachusetts,MA,25,6755124
2014,Michigan,MI,26,9929848
2014,Minnesota,MN,27,5457125
2014,Mississippi,MS,28,2990976
2014,Missouri,MO,29,6058028
2014,Montana,MT,30,1021891
2014,Nebraska,NE,31,1880920
2014,Nevada,NV,32,2817628
2014,New Hampshire,NH,33,1334257
2014,New Jersey,NJ,34,8867277
2014,New Mexico,NM,35,2084473
2014,New York,NY,36,19651049
2014,North Carolina,NC,37,9941160
2014,North Dakota,ND,38,740040
2014,Ohio,OH,39,11594408
2014,Oklahoma,OK,40,3879610
2014,Oregon,OR,41,3963244
2014,Pennsylvania,PA,42,12793932
2014,Rhode Island,RI,44,1055936
2014,South Carolina,SC,45,4823972
2014,South Dakota,SD,46,849455
2014,Tennessee,TN,47,6548009
2014,Texas,TX,48,26954436
2014,Utah,UT,49,2941267
2014,Vermont,VT,50,625124
2014,Virginia,VA,51,8310993
2014,Washington,WA,53,7055305
2014,West Virginia,WV,54,1849489
2014,Wisconsin,WI,55,5758441
2014,Wyoming,WY,56,582531
2015,Alabama,AL,01,4852347
2015,Alaska,AK,02,737498
2015,Arizona,AZ,04,6828065
2015,Arkansas,AR,05,2975626
2015,California,CA,06,38982847
2015,Colorado,CO,08,5450623
2015,Connecticut,CT,09,3587122
2015,Delaware,DE,10,941252
2015,Florida,FL,12,20209042
2015,Georgia,GA,13,10178447
2015,Hawaii,HI,15,1422922
2015,Idaho,ID,16,1652828
2015,Illinois,IL,17,12858913
2015,Indiana,IN,18,6608422
2015,Iowa,IA,19,3121997
2015,Kansas,KS,20,2906721
2015,Kentucky,KY,21,4425976
2015,Louisiana,LA,22,4664628
2015,Maine,ME,23,1329328
2015,Maryland,MD,24,5985562
2015,Massachusetts,MA,25,6792779
2015,Michigan,MI,26,9931715
2015,Minnesota,MN,27,5482435
2015,Mississippi,MS,28,2988471
2015,Missouri,MO,29,6071732
2015,Montana,MT,30,1030475
2015,Nebraska,NE,31,1893564
2015,Nevada,NV,32,2866939
2015,New Hampshire,NH,33,1330161
2015,New Jersey,NJ,34,8870827
2015,New Mexico,NM,35,2084117
2015,New York,NY,36,19654666
2015,North Carolina,NC,37,10035186
2015,North Dakota,ND,38,754066
2015,Ohio,OH,39,11617527
2015,Oklahoma,OK,40,3907414
2015,Oregon,OR,41,4016537
2015,Pennsylvania,PA,42,12784826
2015,Rhode Island,RI,44,1056065
2015,South Carolina,SC,45,4891938
2015,South Dakota,SD,46,857919
2015,Tennessee,TN,47,6591071
2015,Texas,TX,48,27468721
2015,Utah,UT,49,2990094
2015,Vermont,VT,50,625802
2015,Virginia,VA,51,8361808
2015,Washington,WA,53,7163657
2015,West Virginia,WV,54,1842050
2015,Wisconsin,WI,55,5760940
2015,Wyoming,WY,56,586107
2016,Alabama,AL,01,4863525
2016,Alaska,AK,02,741456
2016,Arizona,AZ,04,6941072
2016,Arkansas,AR,05,2988231
2016,California,CA,06,39296476
2016,Colorado,CO,08,5530105
2016,Connecticut,CT,09,3578141
2016,Delaware,DE,10,948921
2016,Florida,FL,12,20613477
2016,Georgia,GA,13,10301890
2016,Hawaii,HI,15,1428557
2016,Idaho,ID,16,1680026
2016,Illinois,IL,17,12820527
2016,Indiana,IN,18,6634304
2016,Iowa,IA,19,3131785
2016,Kansas,KS,20,2910367
2016,Kentucky,KY,21,4438182
2016,Louisiana,LA,22,4678215
2016,Maine,ME,23,1330232
2016,Maryland,MD,24,6004906
2016,Massachusetts,MA,25,6823721
2016,Michigan,MI,26,9950571
2016,Minnesota,MN,27,5522744
2016,Mississippi,MS,28,2987938
2016,Missouri,MO,29,6089857
2016,Montana,MT,30,1038656
2016,Nebraska,NE,31,1907603
2016,Nevada,NV,32,2939254
2016,New Hampshire,NH,33,1342795
2016,New Jersey,NJ,34,8870827
2016,New Mexico,NM,35,2082669
2016,New York,NY,36,19633428
2016,North Carolina,NC,37,10156689
2016,North Dakota,ND,38,754022
2016,Ohio,OH,39,11634370
2016,Oklahoma,OK,40,3921207
2016,Oregon,OR,41,4089976
2016,Pennsylvania,PA,42,12787209
2016,Rhode Island,RI,44,1056770
2016,South Carolina,SC,45,4959822
2016,South Dakota,SD,46,862996
2016,Tennessee,TN,47,6651089
2016,Texas,TX,48,27914410
2016,Utah,UT,49,3044321
2016,Vermont,VT,50,623354
2016,Virginia,VA,51,8410106
2016,Washington,WA,53,7294771
2016,West Virginia,WV,54,1831023
2016,Wisconsin,WI,55,5772628
2016,Wyoming,WY,56,584290
2017,Alabama,AL,01,4874486
2017,Alaska,AK,02,739700
